"lang"
{
	"Language"      "English"
	"Tokens"
	{
		"addon_game_name"								"Element Arena"
		"DOTA_GameMode_15"								"Element Arena"

        "InstructionsTitle"								"Element Arena"
        "InstructionsObjective"							"OBJECTIVE"
        "InstructionsObjectiveText"						""
        "InstructionsHowToPlay"							"HOW TO PLAY"
        "InstructionsLines"								""

        "DOTA_GoodGuys"   								"Radiant"
        "DOTA_BadGuys"    								"Dire"
    
        "addonname"										"Element Arena"
        "overthrow_game_info_header_objective"			"Objective:"
        "overthrow_brief_description"					"Create artifacts using elements, fight against waves of monsters.
Artifacts:
Each artifact consists of 3 elements.
Upgrade your artifacts.
All recipes are described on the left panel or in the shop by choosing an element/artifact in the inventory.
Relics:
Relics are rare items which are kept at players after each game.
Relic power depends on current wave."
		"patreontext"					"If you want to support the developer, then you can do it on Patreon.
By supporting the developer on Patreon, you can receive exclusive rewards, such as:
  - DONATOR effect
  - PATRON effects of different levels
  - Red seal color
  - Pet"
		"patreonbuttontext"				"Become a patron"
    
        "my_custom_end_screen_wave"		"WAVE"
        "my_custom_end_screen_heal"		"HEAL"
        "my_custom_end_screen_ddmg"		"DEAL DAMAGE"
        "my_custom_end_screen_deaths"	"D"
        "my_custom_end_screen_tdmg"		"TAKE DAMAGE"
        
        "ready"				"Yes"
        "relics"			"Relics"
        "refreshrelics"		"Refresh"
        "votetext"			"Vote to start next round early"
        "voteyestext"		"You voted yes."
        "lvllabel"			"Levels of relics(max 20):"
        "reliclabel"		"Relics(click to take relics):"
        "profile"			"Profile"
        "elements"			"Elements"
        "lplays"			"Games: "
        "lwins"				"Wins in normal mode: "
        "lhardwins"			"Wins in hard mode: "
        "ahclabel"			"All-Hero Challenge:"
		"getall"			"Takes all the relics"
		"filterlabel"		"Filters:"
		"puretextlbl"		"Shatter:<br>Select the Crystal Shard to Shatter.<br>Shift-click on the rarity filter will select all the crystals of the selected rarity."
		"conf"				"Confirm"
		"seveasdefault"		"Save as default"
		"save"				"Save"
		"load"				"Load"
		"saves"				"Saves:"
        
        "topptext"			"Top players by number of the game:"
        "topwtext"			"Top players by number of win in normal mode:"
        "topwtext"			"Top players by number of win in hard mode:"
        
        "partnote"			"Description:"
        "partname"			"Effect Name:"
        "top"				"Granted for the Top First Place."
        "winner"			"Granted for Completing The Game in normal mode."
        "hardwinner"		"Granted for Completing The Game in hard mode."
        "discord"			"Granted for the Display of Activity in the Discord Server."
        "helper"			"Granted for Help in Creating the Game."
        "birthday"			"Reward for Completing the Game on 09/01/2018 Celebrating Birthday of The Game."
        "birthday2"			"Reward for Completing the Game on 09/01/2019 Celebrating Birthday of The Game."
        "donator"			"Granted for Supporting or Donate the Author of the Game"
        "allheroes"			"Granted for Passing All-Hero Challenge."
		"newyear"			"Reward for Clear the Game From 12/22/2018 Until 01/07/2019."
		"patron1"			"Available to patrons first level or higher."
		"patron2"			"Available to patrons second level or higher."
		"patron3"			"Available to patrons third level or higher."
		"patron4"			"Available to patrons fourth level or higher."
		"patron5"			"Available to patrons fifth level."
        
		"Combat_Message_use_ultimate"		"{s:player_name} uses effect <font color='#4ae0bf'>{s:locstring_value}</font>!"
		
		"useseffect"		" uses effect "
		"insl"				"Installed"
		"rsqual"			"Quality:"
		"rsrareness"		"Rareness:"
		
		"noupgrade"			"Impossible to improve"
		"upgradeof"			"Улучшить за "
		"colorlabel"		"Seal color:"
		
		"rsdiscr01"			"Blocks Damage Taken.<br>Cooldown: 12 sec."
		"rsdiscr02"			"If you take damage greater than or equal to 40% of your maximum health, it will restore 5% health per second for 3 seconds."
		"rsdiscr03"			"Skill and Items Will Consume Health Instead of Mana."
		"rsdiscr04"			"Increases attack range by 200 for ranged hero."
		"rsdiscr05"			"When receiving fatal damage with a 20% chance, you will have 1 health point left."
		"rsdiscr06"			"When you use ability, it has a 10% chance to restore 5% health to all allies."
        
        "endswaves"			"The following waves are only available for a team with five players.You can find a team on our Discord server:"
        "endswavesok"		"OK"
        
        "DOTA_Chat_Tombstone_Pinged"			"Fallen teammate here."
        
		"DOTA_Tooltip_ability_item_bottle_Description" "<h1>Active: Regenerate</h1>Consumes a charge to restore %health_restore% health and %mana_restore% mana over %restore_time% seconds. If the hero is attacked by an enemy hero or Roshan, the effect is lost.<br><br><font color='#70EA72'>Bottle Charges are replenished every wave.</font><br><br>Hold Control to use on an allied hero.<br><br>Range: %tooltip_range%"
        
        "QuestPanel"							"Time to {d:remark} wave: {d:Eva-Sva} sec"
        "HPBar"									"{d:panleSvalue}/{d:panleEvalue}"
		
		"DOTA_Tooltip_Ability_item_portal"		"Portal"
		"DOTA_Chat_Portal_Pinged"				"Portal here."
        
		"DOTA_Tooltip_ability_item_25gold"		"Gold"
        "DOTA_Tooltip_ability_item_tombstone"	"Resurrect Teammate"
        
    //###############################################################################################################################
        
        "DOTA_Tooltip_Ability_item_air"         "Air"
        "DOTA_Tooltip_Ability_item_shadow"      "Shadow"
        "DOTA_Tooltip_Ability_item_life"        "Life"
        "DOTA_Tooltip_Ability_item_void"        "Void"
        "DOTA_Tooltip_Ability_item_light"       "Light"
        "DOTA_Tooltip_Ability_item_earth"       "Earth"
        "DOTA_Tooltip_Ability_item_ice"         "Ice"
        "DOTA_Tooltip_Ability_item_fire"        "Fire"
        "DOTA_Tooltip_Ability_item_water"       "Water"
        "DOTA_Tooltip_Ability_item_energy"      "Energy"
        "DOTA_Tooltip_Ability_item_air_Description"         "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_shadow_Description"      "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_life_Description"        "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_void_Description"        "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_light_Description"       "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_earth_Description"       "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_ice_Description"         "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_fire_Description"        "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_water_Description"       "Lay out on the ground to return to the item bar."
        "DOTA_Tooltip_Ability_item_energy_Description"      "Lay out on the ground to return to the item bar."
        
        "DOTA_Tooltip_Ability_item_air_dummy"         "Air"
        "DOTA_Tooltip_Ability_item_shadow_dummy"      "Shadow"
        "DOTA_Tooltip_Ability_item_life_dummy"        "Life"
        "DOTA_Tooltip_Ability_item_void_dummy"        "Void"
        "DOTA_Tooltip_Ability_item_light_dummy"       "Light"
        "DOTA_Tooltip_Ability_item_earth_dummy"       "Earth"
        "DOTA_Tooltip_Ability_item_ice_dummy"         "Ice"
        "DOTA_Tooltip_Ability_item_fire_dummy"        "Fire"
        "DOTA_Tooltip_Ability_item_water_dummy"       "Water"
        "DOTA_Tooltip_Ability_item_energy_dummy"      "Energy"
        
        "DOTA_Tooltip_Ability_item_air_essence"					"Air Essence"
        "DOTA_Tooltip_Ability_item_air_essence_Description"		"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_shadow_essence"				"Shadow Essence"
        "DOTA_Tooltip_Ability_item_shadow_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_life_essence"				"Life Essence"
        "DOTA_Tooltip_Ability_item_life_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_void_essence"				"Void Essence"
        "DOTA_Tooltip_Ability_item_void_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_light_essence"				"Light Essence"
        "DOTA_Tooltip_Ability_item_light_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_earth_essence"				"Earth Essence"
        "DOTA_Tooltip_Ability_item_earth_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_ice_essence"					"Ice Essence"
        "DOTA_Tooltip_Ability_item_ice_essence_Description"		"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_fire_essence"				"Fire Essence"
        "DOTA_Tooltip_Ability_item_fire_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_water_essence"				"Water Essence"
        "DOTA_Tooltip_Ability_item_water_essence_Description"	"Essences can be used for minor improvement of some items."
        "DOTA_Tooltip_Ability_item_energy_essence"				"Energy Essence"
        "DOTA_Tooltip_Ability_item_energy_essence_Description"	"Essences can be used for minor improvement of some items."
        
    //###############################################################################################################################
        
        "npc_dota_custom_creep_1_1" "Ursa"
        "npc_dota_custom_creep_1_2" "Spirit"
		"DOTA_Tooltip_ability_my_debuff"					"Weakening Aura"
