"lang"
{
    "Language"	    "german"
    "Tokens"
    {
        "InstructionsTitle"								"Element Arena"
        "InstructionsObjective"							"ZIELSETZUNG"
        "InstructionsObjectiveText"						""
        "InstructionsHowToPlay"							"WIE ZU SPEILEN"
        "InstructionsLines"								""

        "DOTA_GoodGuys"   								"Licht Team"
        "DOTA_BadGuys"    								"Dunkel Team"
    
        "addonname"										"Element Arena"
        "overthrow_game_info_header_objective"			"Zweck:"
        "overthrow_brief_description"					"Sammle Artefakte von den Elementen und bezwinge die Monsterwellen.
Artikel können nicht gekauft werden,sie können nur nach dem Töten von Monstern erhalten werden.
Artefakte:
Jedes Artefakt besteht aus drei Elementen.
Rüste deine Artefakte auf.
Alle Rezepte können im Store durch Klicken auf einen Gegenstand oder ein Artefakt im Inventar angezeigt werden.
Reliquien:
Während des Spiels können Sie Relikte von Bossen bekommen.
Reliquien - sind seltene Gegenstände,
die bei dem Spieler nach dem Spiel gespeichert werden.
Die Macht der Reliquien hängt von der aktuellen Welle und ihrem Level der Reliquie ab.
"
        
        "my_custom_end_screen_wave"                     "WELLE"
        "my_custom_end_screen_heal"                     "KUR"
        "my_custom_end_screen_ddmg"                     "SCHADEN ANGERICHTET"
        "my_custom_end_screen_deaths"                   "TOD"
        "my_custom_end_screen_tdmg"                     "SHADEN ERHALTEN"
        
        "ready"                                         "Bereit"
        "relics"                                        "Reliquien"
        "refreshrelics"                                 "Aktualisieren"
        "votetext"                                      "Abstimmung für den Beginn der Runde"
        "voteyestext"                                   "Du hast dafür gestimmt."
        "lvllabel"                                      "Relikt Ebenen(max. 20):"
        "reliclabel"                                    "Реликвии(кликните чтобы взять):"
        "profile"                                       "Profil"
        "elements"                                      "Elemente"
        "lwins"                                         "Anzahl der Gewinne: "
        "lplays"                                        "Anzahl der Spiele: "
        "ahclabel"                                      "All-Helden-Herausforderung:"
		"getall"										"Взять все реликвии"
        
        "topwtext"                                      "Top-Spieler nach Anzahl der Siege:"
        "topptext"                                      "Top-Spieler nach Anzahl der Spiele:"
        
        "partnote"                                      "Beschreibung / Grund für die Ausgabe / Anmerkung:"
        "partname"                                      "Effektname:"
        "top"                                           "Ausstellen für den ersten Platz in den Spitzen."
        "winner"                                        "Ausstellen für das Passspiel."
        "discord"                                       "Ausstellen um Aktivitäten auf dem Discord server anzuzeigen."
        "helper"                                        "Ausstellen für Hilfe beim Erstellen des Spiels."
        "birthday"                                      "Ausstellen für den Gewinn 1.09.2018 zu Ehren des Geburtstags des Spiels."
        "donator"                                       "Ausstellen für die materielle Unterstützung des Autors."
        "allheroes"                                     "Ausstellen zur Vervollständigung All-Helden-Herausforderung."
        
        "endswaves"                                     "Die folgenden Wellen sind nur für ein Team von fünf Spielern verfügbar.Sie können ein Team für die Weitergabe unseres Discord server finden:"
        "endswavesok"                                   "GUT"
        
        "addon_game_name"								"Element Arena"
		"DOTA_GameMode_15"													"Element Arena"
        
        "DOTA_Tooltip_ability_item_25gold"			"Gold"
        "DOTA_Tooltip_ability_item_tombstone"								"Verbündeter wiederbeleben"
        
        "DOTA_Tooltip_Ability_item_air"         "Luft"
        "DOTA_Tooltip_Ability_item_shadow"      "Schatten"
        "DOTA_Tooltip_Ability_item_life"        "Leben"
        "DOTA_Tooltip_Ability_item_void"        "Leere"
        "DOTA_Tooltip_Ability_item_light"       "Licht"
        "DOTA_Tooltip_Ability_item_earth"       "Erde"
        "DOTA_Tooltip_Ability_item_ice"         "Eis"
        "DOTA_Tooltip_Ability_item_fire"        "Feuer"
        "DOTA_Tooltip_Ability_item_water"       "Wasser"
        "DOTA_Tooltip_Ability_item_energy"      "Energie"
        
        "DOTA_Tooltip_Ability_item_air_dummy"         "Luft"
        "DOTA_Tooltip_Ability_item_shadow_dummy"      "Schatten"
        "DOTA_Tooltip_Ability_item_life_dummy"        "Leben"
        "DOTA_Tooltip_Ability_item_void_dummy"        "Leere"
        "DOTA_Tooltip_Ability_item_light_dummy"       "Licht"
        "DOTA_Tooltip_Ability_item_earth_dummy"       "Erde"
        "DOTA_Tooltip_Ability_item_ice_dummy"         "Eis"
        "DOTA_Tooltip_Ability_item_fire_dummy"        "Feuer"
        "DOTA_Tooltip_Ability_item_water_dummy"       "Wasser"
        "DOTA_Tooltip_Ability_item_energy_dummy"      "Energie"
        
        "DOTA_Tooltip_Ability_item_air_essence"         "Luft Essenz"
        "DOTA_Tooltip_Ability_item_air_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_shadow_essence"      "Schatten Essenz"
        "DOTA_Tooltip_Ability_item_shadow_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_life_essence"        "Leben Essenz"
        "DOTA_Tooltip_Ability_item_life_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_void_essence"        "Leere Essenz"
        "DOTA_Tooltip_Ability_item_void_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_light_essence"       "Licht Essenz"
        "DOTA_Tooltip_Ability_item_light_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_earth_essence"       "Erde Essenz"
        "DOTA_Tooltip_Ability_item_earth_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_ice_essence"         "Eis Essenz"
        "DOTA_Tooltip_Ability_item_ice_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_fire_essence"        "Feuer Essenz"
        "DOTA_Tooltip_Ability_item_fire_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_water_essence"       "Wasser Essenz"
        "DOTA_Tooltip_Ability_item_water_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        "DOTA_Tooltip_Ability_item_energy_essence"      "Energie Essenz"
        "DOTA_Tooltip_Ability_item_energy_essence_Description"            "Essenzen können verwendet werden, um bestimmte Gegenstände nicht signifikant zu verbessern."
        
        "DOTA_Chat_Tombstone_Pinged"										"Hier ist ein gefallener Verbündeter."
        
        "DOTA_Tooltip_ability_item_bottle_Description"	"<h1>Aktiviert: Regenerate</h1>Verteilt eine Gebühr, um %health_restore% Gesundheit und %mana_restore% Mana Ziele über %restore_time% Sekunden schrittweise wiederherzustellen.<br><br>Die Wiederherstellung endet, wenn sie Schaden von feindlichen Helden oder Roshan erhält.<br><br><font color='#70EA72'>Gebühren werden nach jeder Welle gefüllt.</font><br><br>Pinch CTRL zum Anwenden auf einen Verbündeten.<br><br>Verwendungsbereich: %tooltip_range%"
        
        "QuestPanel"                                             "Zeit vor der {d:remark} Welle: {d:Eva-Sva} sec"
        "HPBar"                                             "{d:panleSvalue}/{d:panleEvalue}"
        
        //###############################################################################################################################
        
        "npc_dota_custom_creep_1_1" "Ursa"
        "npc_dota_custom_creep_1_2" "Geist"
        "npc_dota_custom_creep_2_1" "Zombie"
        "npc_dota_custom_creep_2_2" "Kolossal-Zombie"
        "npc_dota_custom_creep_2_3" "Kolossal-Zombie"
        "npc_dota_custom_creep_3_1" "Böser Oger"
        "npc_dota_custom_creep_3_2" "Böser Oger"
        "npc_dota_custom_creep_4_1" "Golem"
        "npc_dota_custom_creep_4_2" "Golem"
		"npc_dota_custom_creep_4_1_1" "Golem"
		"npc_dota_custom_creep_4_1_2" "Golem"
		"npc_dota_custom_creep_4_2_1" "Golem"
		"npc_dota_custom_creep_4_2_2" "Golem"
        "npc_dota_custom_creep_5_1" "Echsenhäuptling"
        "npc_dota_custom_creep_5_2" "Geist"
        "npc_dota_custom_creep_6_1" "Kolossal-Zentaur"
        "npc_dota_custom_creep_6_2" "Zentaur"
        "npc_dota_custom_creep_6_3" "Kolossal-Zentaur"
        "npc_dota_custom_creep_6_1" "Kolossal-Zentaur"
        "npc_dota_custom_creep_7_1" "Geheimnisvoller Käfer"
        "npc_dota_custom_creep_7_2" "Geheimnisvoller Käfer"
        "npc_dota_custom_creep_8_1" "Stichwort Katze"
        "npc_dota_custom_creep_8_2" "Wütender Bär"
        "npc_dota_custom_creep_8_3" "Stichwort Katze"
        "npc_dota_custom_creep_9_1" "Spuk Spinne"
        "npc_dota_custom_creep_9_2" "Spinne"
        "npc_dota_custom_creep_9_3" "Erstgeborene-Spinne"
